epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9671,1.71351,2.97119,1.51893,0.53036,0.37525,0.39495,0.19114,1.76538,2.67066,1.68652,0.000415309,0.000415309,0.000415309
2,71.2295,1.66598,2.28291,1.45344,0.55634,0.43063,0.44616,0.2154,1.68957,2.44103,1.58697,0.000815503,0.000815503,0.000815503
3,118.303,1.66434,2.181,1.47173,0.67901,0.34261,0.43292,0.20484,1.70646,2.26052,1.59989,0.0011992,0.0011992,0.0011992
4,162.966,1.65274,2.08195,1.45902,0.67091,0.50412,0.54656,0.26004,1.73351,1.80326,1.56278,0.00117575,0.00117575,0.00117575
5,202.195,1.60768,1.94229,1.42579,0.71925,0.48189,0.51079,0.24049,1.94345,1.79688,1.67961,0.001151,0.001151,0.001151
6,246.136,1.59067,1.86135,1.40944,0.77289,0.54626,0.61266,0.2935,1.83515,1.61476,1.57655,0.00112625,0.00112625,0.00112625
7,283.377,1.54155,1.73494,1.37689,0.64873,0.54501,0.57602,0.29483,1.67056,1.45627,1.50933,0.0011015,0.0011015,0.0011015
8,318.249,1.52829,1.68909,1.36513,0.80405,0.52023,0.58769,0.29503,1.67386,1.41139,1.47733,0.00107675,0.00107675,0.00107675
9,359.926,1.52085,1.62003,1.35502,0.78954,0.5164,0.6011,0.2849,1.83304,1.49314,1.54004,0.001052,0.001052,0.001052
10,405.973,1.47797,1.55881,1.33119,0.74316,0.5404,0.62757,0.33303,1.6359,1.30412,1.50787,0.00102725,0.00102725,0.00102725
11,448.613,1.47904,1.55317,1.32907,0.75526,0.5791,0.64311,0.32226,1.6803,1.39554,1.4725,0.0010025,0.0010025,0.0010025
12,482.138,1.44283,1.4733,1.30623,0.81506,0.60045,0.65585,0.33458,1.68491,1.21537,1.43762,0.00097775,0.00097775,0.00097775
13,520.781,1.4216,1.4441,1.29704,0.7987,0.54797,0.62283,0.30493,1.8067,1.41577,1.57375,0.000953,0.000953,0.000953
14,566.417,1.42696,1.43958,1.29906,0.82868,0.60335,0.66973,0.346,1.63798,1.17279,1.40593,0.00092825,0.00092825,0.00092825
15,611.759,1.41772,1.37582,1.289,0.82832,0.59875,0.66325,0.3393,1.66969,1.18191,1.40359,0.0009035,0.0009035,0.0009035
16,655.084,1.39692,1.35114,1.26251,0.85045,0.58865,0.6953,0.35666,1.70369,1.17254,1.448,0.00087875,0.00087875,0.00087875
17,701.562,1.38103,1.31404,1.25907,0.82523,0.589,0.70315,0.36088,1.59872,1.16392,1.38105,0.000854,0.000854,0.000854
18,728.133,1.36572,1.30708,1.24971,0.83068,0.62668,0.7132,0.37332,1.64056,1.10043,1.42142,0.00082925,0.00082925,0.00082925
19,753.369,1.35124,1.28177,1.24393,0.81441,0.61987,0.682,0.36507,1.5912,1.09919,1.39418,0.0008045,0.0008045,0.0008045
20,778.768,1.33624,1.22997,1.22911,0.82304,0.61692,0.70123,0.39893,1.47377,1.09821,1.35186,0.00077975,0.00077975,0.00077975
21,804.078,1.32042,1.22608,1.22119,0.79545,0.65868,0.71094,0.38086,1.59797,1.05496,1.3772,0.000755,0.000755,0.000755
22,829.517,1.28654,1.18106,1.20658,0.86034,0.60763,0.70556,0.37179,1.60913,1.11468,1.41134,0.00073025,0.00073025,0.00073025
23,854.759,1.30244,1.19519,1.21767,0.77956,0.67465,0.72397,0.40319,1.48278,1.00959,1.35363,0.0007055,0.0007055,0.0007055
24,880.201,1.28869,1.16395,1.2067,0.81878,0.66263,0.72675,0.40731,1.48262,1.02493,1.29623,0.00068075,0.00068075,0.00068075
25,905.731,1.24969,1.10785,1.18699,0.90635,0.63636,0.72695,0.40193,1.52928,1.01864,1.32407,0.000656,0.000656,0.000656
26,931.043,1.26078,1.11375,1.18638,0.87107,0.63819,0.72951,0.38935,1.56684,0.99027,1.35211,0.00063125,0.00063125,0.00063125
27,956.502,1.25209,1.09372,1.18907,0.88781,0.60755,0.73511,0.40165,1.50892,0.98544,1.31195,0.0006065,0.0006065,0.0006065
28,981.752,1.24587,1.07444,1.1738,0.88239,0.64129,0.73041,0.41023,1.52833,0.96788,1.34542,0.00058175,0.00058175,0.00058175
29,1007.14,1.23028,1.06701,1.16858,0.80384,0.66633,0.73501,0.4082,1.51147,1.07918,1.3175,0.000557,0.000557,0.000557
30,1032.44,1.20465,1.03053,1.1574,0.86077,0.67752,0.75244,0.43041,1.38118,0.92214,1.2901,0.00053225,0.00053225,0.00053225
31,1057.82,1.20407,1.04057,1.15933,0.87367,0.6311,0.73624,0.40007,1.49874,0.99474,1.32273,0.0005075,0.0005075,0.0005075
32,1083.18,1.19803,0.99513,1.14684,0.84411,0.68316,0.77181,0.43367,1.44799,0.90779,1.30944,0.00048275,0.00048275,0.00048275
33,1108.51,1.18294,0.99279,1.14636,0.82456,0.66033,0.7475,0.4245,1.4724,0.97267,1.30587,0.000458,0.000458,0.000458
34,1134.01,1.18129,0.98206,1.14042,0.86872,0.67725,0.74483,0.41196,1.52759,0.92834,1.3308,0.00043325,0.00043325,0.00043325
35,1159.39,1.16823,0.9696,1.13277,0.86248,0.70983,0.77062,0.44295,1.40771,0.88256,1.25028,0.0004085,0.0004085,0.0004085
36,1184.7,1.15903,0.95085,1.13079,0.92166,0.69999,0.78943,0.4583,1.4266,0.85748,1.27324,0.00038375,0.00038375,0.00038375
37,1210.21,1.14972,0.93387,1.11822,0.87537,0.70381,0.78301,0.4552,1.45003,0.86344,1.2888,0.000359,0.000359,0.000359
38,1235.63,1.13766,0.92495,1.11465,0.854,0.70223,0.77237,0.45415,1.40083,0.8567,1.25451,0.00033425,0.00033425,0.00033425
39,1269.54,1.13119,0.91119,1.10941,0.907,0.69879,0.78648,0.46699,1.38011,0.83637,1.2372,0.0003095,0.0003095,0.0003095
40,1313.4,1.10257,0.89445,1.09886,0.88834,0.68122,0.77227,0.46382,1.38562,0.84258,1.25946,0.00028475,0.00028475,0.00028475
41,1356,1.09089,0.80488,1.08152,0.88053,0.68804,0.77789,0.47007,1.39373,0.82595,1.27771,0.00026,0.00026,0.00026
42,1398.58,1.07821,0.76853,1.07143,0.8316,0.72401,0.78356,0.48755,1.33489,0.79796,1.22817,0.00023525,0.00023525,0.00023525
43,1451.37,1.04955,0.74524,1.06147,0.86192,0.69655,0.79512,0.47266,1.34309,0.78083,1.22191,0.0002105,0.0002105,0.0002105
44,1500.76,1.04057,0.73382,1.05396,0.86011,0.74746,0.79967,0.47011,1.35021,0.77395,1.22463,0.00018575,0.00018575,0.00018575
45,1547.62,1.02912,0.72411,1.04546,0.85085,0.76485,0.81171,0.48325,1.34545,0.78136,1.22591,0.000161,0.000161,0.000161
46,1592.83,1.00796,0.71643,1.04481,0.89191,0.71411,0.79492,0.4726,1.34556,0.76668,1.23425,0.00013625,0.00013625,0.00013625
47,1628.93,1.0124,0.70286,1.04243,0.86668,0.73417,0.79383,0.49036,1.30714,0.75797,1.20785,0.0001115,0.0001115,0.0001115
48,1672.48,0.99854,0.6919,1.03335,0.88402,0.73414,0.80223,0.48963,1.30879,0.75704,1.22565,8.675e-05,8.675e-05,8.675e-05
49,1718.44,0.98133,0.67782,1.02755,0.87825,0.75162,0.80792,0.47375,1.3673,0.7619,1.26283,6.2e-05,6.2e-05,6.2e-05
50,1763.01,0.98289,0.67538,1.02989,0.90165,0.73558,0.80591,0.49418,1.32004,0.75665,1.2314,3.725e-05,3.725e-05,3.725e-05
